x, fx, sin(x)
0.392699, 0.382901, 0.382683
0.549779, 0.522697, 0.522499
0.706858, 0.649622, 0.649448
0.863938, 0.760552, 0.760406
1.02102, 0.852754, 0.85264
1.1781, 0.923959, 0.92388
1.33518, 0.972412, 0.97237
1.49226, 0.996922, 0.996917
1.64934, 0.996884, 0.996917
1.80642, 0.9723, 0.97237
1.9635, 0.923774, 0.92388
2.12058, 0.852502, 0.85264
2.27765, 0.760238, 0.760406
2.43473, 0.649255, 0.649448
2.59181, 0.522285, 0.522498
2.74889, 0.382455, 0.382683
2.90597, 0.233207, 0.233445
3.06305, 0.0586629, 0.078459

