x, fx
2.628,	2.16082e-31
2.64,	-7.46369e-32
2.652,	-3.44364e-31
2.664,	1.722e-31
2.676,	5.4186e-31
2.688,	-3.56429e-31
2.7,	-8.4278e-31
2.712,	6.92617e-31
2.724,	1.29691e-30
2.736,	-1.29086e-30
2.748,	-1.97623e-30
2.76,	2.33509e-30
2.772,	2.98424e-30
2.784,	-4.13036e-30
2.796,	-4.46927e-30
2.808,	7.17958e-30
2.82,	6.64379e-30
2.832,	-1.23079e-29
2.844,	-9.81315e-30
2.856,	2.08637e-29
2.868,	1.44198e-29
2.88,	-3.50438e-29
2.892,	-2.11139e-29
2.904,	5.84169e-29
2.916,	3.08712e-29
2.928,	-9.67671e-29
2.94,	-4.51949e-29
2.952,	1.59449e-28
2.964,	6.64733e-29
2.976,	-2.61562e-28
2.988,	-9.86252e-29
3,	4.27432e-28
3.012,	1.48278e-28
3.024,	-6.96166e-28
3.036,	-2.26934e-28
3.048,	1.1305e-27
3.06,	3.54967e-28
3.072,	-1.83078e-27
3.084,	-5.68966e-28
3.096,	2.9571e-27
3.108,	9.35233e-28
3.12,	-4.7637e-27
3.132,	-1.57436e-27
3.144,	7.65257e-27
3.156,	2.70577e-27
3.168,	-1.22553e-26
3.18,	-4.72761e-27
3.192,	1.95566e-26
3.204,	8.35899e-27
3.216,	-3.10776e-26
3.228,	-1.48903e-26
3.24,	4.91403e-26
3.252,	2.66195e-26
3.264,	-7.72366e-26
3.276,	-4.76041e-26
3.288,	1.2052e-25
3.3,	8.49408e-26
3.312,	-1.86407e-25
3.324,	-1.50918e-25
3.336,	2.85221e-25
3.348,	2.6658e-25
3.36,	-4.3063e-25
3.372,	-4.67544e-25
3.384,	6.39376e-25
3.396,	8.1331e-25
3.408,	-9.29132e-25
3.42,	-1.40185e-24
3.432,	1.31232e-24
3.444,	2.39188e-24
3.456,	-1.78173e-24
3.468,	-4.03582e-24
3.48,	2.28067e-24
3.492,	6.72644e-24
3.504,	-2.64483e-24
3.516,	-1.10592e-23
3.528,	2.4951e-24
3.54,	1.79081e-23
3.552,	-1.0476e-24
3.564,	-2.85028e-23
3.576,	-3.21002e-24
3.588,	4.44734e-23
3.6,	1.30497e-23
3.612,	-6.77881e-23
3.624,	-3.33399e-23
3.636,	1.00435e-22
3.648,	7.23054e-23
3.66,	-1.43569e-22
3.672,	-1.43315e-22
3.684,	1.95648e-22
3.696,	2.67221e-22
3.708,	-2.48768e-22
3.72,	-4.75049e-22
3.732,	2.81991e-22
3.744,	8.10298e-22
3.756,	-2.49949e-22
3.768,	-1.32912e-21
3.78,	6.45349e-23
3.792,	2.09477e-21
3.804,	4.3265e-22
3.816,	-3.15982e-21
3.828,	-1.50851e-21
3.84,	4.52474e-21
