x, f
  -1.00000000,      0.349227875    
 -0.800000012,      0.316816151    
 -0.600000024,      0.364435136    
 -0.399999976,      0.426246345    
 -0.199999988,      0.418659925    
   0.00000000,      0.349227488    
  0.200000048,      0.316815764    
  0.399999976,      0.364434749    
  0.600000024,      0.426245958    
  0.800000072,      0.418659657    
   1.00000000,      0.349227875    
